number,available_bikes,available_bikes_stands,intervals,description,temp,temp_min,temp_max,humidity,Day,Bikes_available
61,7,18,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,7
31,16,4,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,16
80,15,25,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,15
41,14,6,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,14
50,8,32,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,8
23,11,19,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,11
6,13,7,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,13
53,17,23,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,17
112,9,20,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,9
65,7,33,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,7
8,2,28,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,2
12,1,19,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,1
100,20,5,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,20
97,11,29,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,11
49,6,34,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,6
76,21,17,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,21
4,10,10,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,10
44,17,13,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,17
89,17,23,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,17
78,7,33,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,7
18,10,20,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,10
24,13,7,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,13
38,15,25,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,15
27,15,5,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,15
72,20,11,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,20
52,12,20,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,12
69,10,30,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,10
66,20,20,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,20
79,14,13,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,14
42,13,17,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,13
102,14,26,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,14
7,17,12,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,17
115,14,16,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,14
9,20,4,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,20
59,10,10,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,10
33,10,13,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,10
84,17,13,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,17
58,12,28,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,12
74,6,24,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,6
71,14,26,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,14
94,2,38,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,2
108,12,28,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,12
36,11,29,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,11
93,10,30,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,10
34,14,16,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,14
15,13,3,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,13
73,9,21,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,9
92,14,26,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,14
110,12,28,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,12
68,17,23,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,17
85,10,25,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,10
87,14,24,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,14
13,6,24,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,6
104,9,31,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,9
13,5,25,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,5
67,3,37,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,3
22,6,14,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,6
86,6,32,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,6
3,4,16,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,4
15,14,2,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,14
101,8,22,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,8
95,18,22,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,18
39,10,10,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,10
28,16,14,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,16
55,8,28,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,8
91,19,11,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,19
113,9,31,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,9
51,6,34,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,6
2,9,11,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,9
19,14,16,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,14
26,13,7,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,13
109,4,25,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,4
11,9,21,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,9
30,8,12,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,8
100,19,6,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,19
5,12,28,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,12
34,12,18,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,12
37,10,20,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,10
4,11,9,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,11
105,11,25,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,11
33,9,14,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,9
98,6,34,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,6
42,12,18,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,12
57,6,17,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,6
117,0,40,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,0
83,16,24,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,16
77,13,16,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,13
88,12,18,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,12
114,3,37,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,3
62,6,34,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,6
96,8,22,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,8
48,7,33,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,7
103,11,29,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,11
80,16,24,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,16
25,15,15,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,15
43,11,19,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,11
54,10,23,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,10
9,19,5,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,19
31,15,5,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,15
79,14,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
108,11,29,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
19,14,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
33,10,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
107,9,31,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
45,5,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,5
99,8,22,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
106,19,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,19
86,6,32,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
15,14,2,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
100,20,5,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
32,14,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
10,9,7,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
23,10,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
82,4,18,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,4
21,5,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,5
39,10,10,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
102,14,26,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
8,1,29,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,1
38,13,27,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
59,10,10,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
78,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
75,7,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
16,7,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
77,13,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
52,12,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,12
116,13,17,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
66,21,19,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
110,12,28,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,12
92,14,26,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
3,2,18,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,2
64,9,31,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
111,5,35,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,5
73,9,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
93,10,30,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
34,14,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
44,15,15,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
36,11,29,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
6,11,9,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
71,15,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
94,2,38,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,2
58,11,29,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
97,10,30,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
15,13,3,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
80,14,26,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
66,20,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
109,4,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,4
34,16,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
61,7,18,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
103,11,29,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
25,15,15,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
54,10,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
89,16,24,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
13,7,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
9,21,3,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
68,19,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,19
96,8,22,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
49,4,36,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,4
62,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
29,16,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
67,2,38,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,2
95,17,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,17
4,8,12,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
88,12,18,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,12
83,16,24,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
117,0,40,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,0
57,6,17,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
6,10,10,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
28,17,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,17
38,14,26,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
74,4,26,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,4
5,12,28,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,12
86,7,31,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
26,13,7,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
2,9,11,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
51,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
90,14,26,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
47,7,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
113,9,31,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
111,4,36,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,4
87,13,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
55,8,28,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
43,9,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
30,8,12,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
12,0,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,0
101,8,22,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
48,9,31,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
22,6,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
50,7,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
104,9,31,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
77,14,15,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
31,17,3,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,17
41,14,6,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
42,14,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
50,8,32,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
56,16,24,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
84,18,12,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,18
64,10,30,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
3,4,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,4
44,16,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
67,3,37,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,3
48,8,32,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
75,8,32,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
10,8,8,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
17,13,7,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
111,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
29,15,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
63,13,22,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
106,20,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
23,11,19,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
40,6,15,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
37,10,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
86,5,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,5
116,12,18,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,12
74,6,24,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
72,20,11,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
24,13,7,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
18,10,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
100,21,4,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
69,10,30,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
89,17,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,17
40,8,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
76,21,17,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
115,13,17,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
85,10,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
49,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
91,21,9,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
37,9,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
27,15,5,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
63,12,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,12
84,16,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
65,7,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
112,9,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
7,16,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
56,15,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
11,9,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
53,17,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,17
105,11,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
69,7,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
43,11,19,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
114,2,38,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,2
19,15,15,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
98,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
