number,available_bikes,available_bikes_stands,intervals,description,temp,temp_min,temp_max,humidity,Day,Stands_available
61,7,18,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,18
31,16,4,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,4
80,15,25,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,25
41,14,6,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,6
50,8,32,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,32
23,11,19,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,19
6,13,7,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,7
53,17,23,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,23
112,9,20,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,20
65,7,33,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,33
8,2,28,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,28
12,1,19,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,19
100,20,5,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,5
97,11,29,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,29
49,6,34,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,34
76,21,17,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,17
4,10,10,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,10
44,17,13,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,13
89,17,23,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,23
78,7,33,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,33
18,10,20,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,20
24,13,7,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,7
38,15,25,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,25
27,15,5,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,5
72,20,11,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,11
52,12,20,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,20
69,10,30,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,30
66,20,20,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,20
79,14,13,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,13
42,13,17,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,17
102,14,26,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,26
7,17,12,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,12
115,14,16,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,16
9,20,4,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,4
59,10,10,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,10
33,10,13,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,13
84,17,13,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,13
58,12,28,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,28
74,6,24,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,24
71,14,26,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,26
94,2,38,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,38
108,12,28,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,28
36,11,29,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,29
93,10,30,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,30
34,14,16,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,16
15,13,3,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,3
73,9,21,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,21
92,14,26,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,26
110,12,28,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,28
68,17,23,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,23
85,10,25,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,25
87,14,24,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,24
13,6,24,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,24
104,9,31,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,31
13,5,25,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,25
67,3,37,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,37
22,6,14,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,14
86,6,32,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,32
