description,icon,temp,temp_min,temp_max,humidity,dt
"broken clouds",04d,9,9,10,66,"2021-03-22 14:32:26"
"broken clouds",04d,9,8,9,76,"2021-03-22 14:14:56"
"broken clouds",04d,9,8,9,76,"2021-03-22 14:00:25"
"broken clouds",04d,9,8,9,76,"2021-03-22 13:43:53"
"broken clouds",04d,9,8,9,76,"2021-03-22 13:27:37"
"broken clouds",04d,9,8,9,76,"2021-03-22 13:17:29"
"broken clouds",04d,9,8,9,76,"2021-03-22 13:00:02"
"broken clouds",04d,9,8,9,76,"2021-03-22 12:47:28"
"broken clouds",04d,9,8,9,76,"2021-03-22 12:30:49"
"broken clouds",04d,9,8,9,76,"2021-03-22 12:17:28"
"broken clouds",04d,9,8,9,81,"2021-03-22 12:02:17"
"broken clouds",04d,9,8,9,81,"2021-03-22 11:44:42"
"broken clouds",04d,9,8,9,81,"2021-03-22 11:27:59"
"broken clouds",04d,9,8,9,81,"2021-03-22 11:12:28"
"broken clouds",04d,9,8,9,81,"2021-03-22 11:00:04"
"broken clouds",04d,9,8,9,81,"2021-03-22 10:45:33"
"broken clouds",04d,9,8,9,81,"2021-03-22 10:29:34"
"broken clouds",04d,9,8,9,81,"2021-03-22 10:16:31"
"overcast clouds",04d,9,8,9,81,"2021-03-22 10:02:27"
"overcast clouds",04d,9,8,9,81,"2021-03-22 09:44:39"
"overcast clouds",04d,9,8,9,76,"2021-03-22 09:31:16"
"overcast clouds",04d,9,8,9,76,"2021-03-22 09:14:49"
"overcast clouds",04d,9,8,9,76,"2021-03-22 08:57:29"
"overcast clouds",04d,9,8,9,76,"2021-03-22 08:43:27"
"overcast clouds",04d,8,8,9,71,"2021-03-22 08:28:05"
"overcast clouds",04d,8,8,9,71,"2021-03-22 08:15:22"
"overcast clouds",04d,8,7,9,71,"2021-03-22 08:02:23"
"overcast clouds",04d,8,7,9,71,"2021-03-22 07:42:38"
"broken clouds",04d,8,7,8,71,"2021-03-22 07:30:02"
"broken clouds",04d,8,7,8,71,"2021-03-22 07:17:14"
"broken clouds",04d,8,7,8,71,"2021-03-22 07:02:02"
"broken clouds",04d,8,7,8,71,"2021-03-22 06:44:29"
"broken clouds",04d,8,7,8,71,"2021-03-22 06:32:25"
"broken clouds",04n,8,7,9,71,"2021-03-22 06:17:12"
"broken clouds",04n,8,7,8,81,"2021-03-22 06:02:24"
"broken clouds",04n,8,7,9,81,"2021-03-22 05:47:24"
"broken clouds",04n,8,7,9,76,"2021-03-22 05:30:03"
"broken clouds",04n,8,7,9,76,"2021-03-22 05:15:24"
"broken clouds",04n,8,8,9,76,"2021-03-22 05:01:31"
"broken clouds",04n,8,8,9,76,"2021-03-22 04:44:53"
"broken clouds",04n,8,8,8,76,"2021-03-22 04:31:36"
"broken clouds",04n,8,8,8,76,"2021-03-22 04:17:23"
"broken clouds",04n,8,8,9,76,"2021-03-22 04:01:52"
"broken clouds",04n,8,8,9,76,"2021-03-22 03:45:02"
"broken clouds",04n,8,8,9,76,"2021-03-22 03:27:38"
"broken clouds",04n,8,8,8,76,"2021-03-22 03:12:46"
"broken clouds",04n,8,8,9,76,"2021-03-22 02:57:57"
"broken clouds",04n,8,8,9,76,"2021-03-22 02:46:12"
"broken clouds",04n,8,8,9,76,"2021-03-22 02:32:22"
"broken clouds",04n,8,8,9,76,"2021-03-22 02:17:22"
"broken clouds",04n,8,8,8,76,"2021-03-22 02:02:21"
"broken clouds",04n,8,8,8,76,"2021-03-22 01:42:58"
"broken clouds",04n,8,8,8,76,"2021-03-22 01:29:32"
"broken clouds",04n,8,8,8,76,"2021-03-22 01:17:13"
"broken clouds",04n,8,8,9,76,"2021-03-22 01:00:28"
"broken clouds",04n,8,8,9,76,"2021-03-22 00:43:08"
"broken clouds",04n,8,8,9,81,"2021-03-22 00:31:21"
"broken clouds",04n,8,8,9,81,"2021-03-22 00:17:20"
"broken clouds",04n,8,8,8,81,"2021-03-21 23:59:22"
"broken clouds",04n,8,8,8,81,"2021-03-21 23:44:05"
"broken clouds",04n,8,8,8,81,"2021-03-21 23:22:23"
"broken clouds",04n,8,8,9,81,"2021-03-21 23:14:43"
"broken clouds",04n,8,8,9,81,"2021-03-21 23:00:04"
"broken clouds",04n,8,8,9,81,"2021-03-21 22:42:29"
"broken clouds",04n,8,8,9,81,"2021-03-21 22:32:19"
"broken clouds",04n,8,7,9,81,"2021-03-21 22:17:02"
"broken clouds",04n,8,8,9,81,"2021-03-21 21:58:29"
"broken clouds",04n,8,7,9,81,"2021-03-21 21:44:38"
"broken clouds",04n,8,7,9,81,"2021-03-21 21:32:19"
"broken clouds",04n,8,7,9,76,"2021-03-21 21:13:11"
"broken clouds",04n,8,7,9,76,"2021-03-21 20:59:23"
"broken clouds",04n,8,7,9,76,"2021-03-21 20:46:30"
"broken clouds",04n,8,7,9,76,"2021-03-21 20:28:50"
"broken clouds",04n,8,7,10,76,"2021-03-21 20:12:36"
"broken clouds",04n,8,7,10,76,"2021-03-21 19:59:53"
"broken clouds",04n,8,7,10,76,"2021-03-21 19:43:53"
"broken clouds",04n,8,7,10,71,"2021-03-21 19:29:52"
"broken clouds",04n,8,7,8,71,"2021-03-21 19:13:12"
"broken clouds",04n,8,7,8,71,"2021-03-21 18:57:49"
"broken clouds",04n,8,7,11,71,"2021-03-21 18:45:02"
"scattered clouds",03d,9,7,11,71,"2021-03-21 18:30:18"
"scattered clouds",03d,9,7,11,71,"2021-03-21 18:15:23"
"scattered clouds",03d,9,8,10,66,"2021-03-21 18:02:17"
"scattered clouds",03d,10,8,12,66,"2021-03-21 17:46:21"
"scattered clouds",03d,10,8,12,58,"2021-03-21 17:30:02"
"scattered clouds",03d,10,8,12,62,"2021-03-21 17:13:14"
"scattered clouds",03d,10,8,12,62,"2021-03-21 16:57:43"
"scattered clouds",03d,10,8,12,62,"2021-03-21 16:43:58"
"scattered clouds",03d,11,8,12,58,"2021-03-21 16:29:24"
"scattered clouds",03d,11,9,12,62,"2021-03-21 16:13:32"
"scattered clouds",03d,11,9,12,62,"2021-03-21 16:00:28"
"scattered clouds",03d,11,11,12,62,"2021-03-21 15:43:02"
"scattered clouds",03d,11,11,12,62,"2021-03-21 15:32:16"
"scattered clouds",03d,11,10,12,62,"2021-03-21 15:15:15"
"scattered clouds",03d,11,10,12,62,"2021-03-21 15:00:04"
"scattered clouds",03d,11,10,12,62,"2021-03-21 14:47:15"
"scattered clouds",03d,11,11,12,62,"2021-03-21 14:31:10"
"scattered clouds",03d,11,11,12,62,"2021-03-21 14:16:56"
"scattered clouds",03d,11,10,12,62,"2021-03-21 13:59:34"
"scattered clouds",03d,11,10,11,62,"2021-03-21 13:45:14"
"broken clouds",04d,11,10,12,66,"2021-03-21 13:31:01"
"broken clouds",04d,10,9,11,66,"2021-03-21 13:15:02"
"broken clouds",04d,10,9,11,66,"2021-03-21 13:02:14"
"broken clouds",04d,10,9,11,66,"2021-03-21 12:44:20"
"broken clouds",04d,10,9,11,66,"2021-03-21 12:32:14"
"broken clouds",04d,10,9,11,66,"2021-03-21 12:17:13"
"broken clouds",04d,9,8,10,71,"2021-03-21 11:58:17"
"broken clouds",04d,9,8,10,71,"2021-03-21 11:47:13"
"broken clouds",04d,9,8,10,76,"2021-03-21 11:32:13"
"broken clouds",04d,9,8,9,76,"2021-03-21 11:16:57"
"broken clouds",04d,9,8,9,71,"2021-03-21 10:57:14"
"broken clouds",04d,9,8,9,71,"2021-03-21 10:44:55"
"broken clouds",04d,9,8,9,71,"2021-03-21 10:30:02"
"broken clouds",04d,9,8,9,71,"2021-03-21 10:17:12"
"broken clouds",04d,8,8,9,76,"2021-03-21 10:02:00"
"broken clouds",04d,8,8,9,76,"2021-03-21 09:43:12"
"broken clouds",04d,8,8,9,81,"2021-03-21 09:27:28"
"broken clouds",04d,8,8,9,81,"2021-03-21 09:17:11"
"broken clouds",04d,8,7,9,81,"2021-03-21 09:00:32"
"broken clouds",04d,8,7,8,81,"2021-03-21 08:42:14"
"broken clouds",04d,7,7,8,87,"2021-03-21 08:27:51"
"broken clouds",04d,7,7,8,87,"2021-03-21 08:17:11"
"broken clouds",04d,7,6,8,93,"2021-03-21 07:59:28"
"broken clouds",04d,7,6,8,93,"2021-03-21 07:43:55"
"broken clouds",04d,7,6,8,100,"2021-03-21 07:28:40"
"broken clouds",04d,7,6,8,100,"2021-03-21 07:15:04"
"broken clouds",04d,7,6,8,100,"2021-03-21 06:58:07"
"broken clouds",04d,7,6,8,100,"2021-03-21 06:45:01"
"broken clouds",04d,7,6,8,100,"2021-03-21 06:27:38"
"broken clouds",04n,7,6,8,100,"2021-03-21 06:15:35"
"broken clouds",04n,7,6,8,100,"2021-03-21 06:01:14"
"broken clouds",04n,7,6,8,100,"2021-03-21 05:44:56"
"broken clouds",04n,7,7,8,93,"2021-03-21 05:32:09"
"light rain",10n,8,8,8,93,"2021-03-21 05:12:22"
"light rain",10n,8,8,8,93,"2021-03-21 05:02:09"
"light rain",10n,8,8,8,93,"2021-03-21 04:43:14"
"light rain",10n,8,8,8,93,"2021-03-21 04:31:02"
"light rain",10n,8,8,8,93,"2021-03-21 04:15:24"
"broken clouds",04n,8,7,8,87,"2021-03-21 03:59:24"
"broken clouds",04n,8,8,8,87,"2021-03-21 03:47:08"
"broken clouds",04n,8,7,9,87,"2021-03-21 03:30:02"
"broken clouds",04n,8,7,9,87,"2021-03-21 03:13:44"
