number,available_bikes,available_bikes_stands,last_update
47,6,34,"2021-03-22 13:59:38"
21,16,14,"2021-03-22 13:59:38"
54,12,21,"2021-03-22 13:59:32"
109,11,18,"2021-03-22 13:59:31"
84,19,11,"2021-03-22 13:59:25"
69,15,24,"2021-03-22 13:59:21"
58,11,29,"2021-03-22 13:59:17"
94,2,38,"2021-03-22 13:59:16"
111,7,33,"2021-03-22 13:59:11"
107,10,30,"2021-03-22 13:59:08"
85,19,16,"2021-03-22 13:59:07"
29,7,22,"2021-03-22 13:59:06"
16,11,9,"2021-03-22 13:59:06"
104,18,22,"2021-03-22 13:59:05"
41,3,17,"2021-03-22 13:58:57"
15,8,8,"2021-03-22 13:58:54"
4,9,11,"2021-03-22 13:58:44"
95,14,26,"2021-03-22 13:58:41"
3,10,10,"2021-03-22 13:58:28"
74,8,21,"2021-03-22 13:58:27"
2,9,11,"2021-03-22 13:58:26"
37,1,29,"2021-03-22 13:58:06"
105,14,22,"2021-03-22 13:57:55"
43,7,23,"2021-03-22 13:57:51"
33,7,16,"2021-03-22 13:57:50"
110,16,24,"2021-03-22 13:57:44"
38,19,21,"2021-03-22 13:57:40"
112,8,22,"2021-03-22 13:57:38"
65,13,27,"2021-03-22 13:57:37"
86,10,27,"2021-03-22 13:57:35"
26,11,9,"2021-03-22 13:57:29"
31,5,15,"2021-03-22 13:57:15"
82,12,10,"2021-03-22 13:57:09"
11,12,18,"2021-03-22 13:57:05"
49,12,28,"2021-03-22 13:57:04"
106,6,34,"2021-03-22 13:57:01"
101,12,18,"2021-03-22 13:57:00"
75,13,27,"2021-03-22 13:56:59"
24,3,17,"2021-03-22 13:56:53"
55,12,24,"2021-03-22 13:56:50"
116,6,24,"2021-03-22 13:56:47"
92,15,25,"2021-03-22 13:56:46"
80,20,20,"2021-03-22 13:56:39"
36,11,29,"2021-03-22 13:56:29"
40,10,11,"2021-03-22 13:56:25"
100,15,10,"2021-03-22 13:56:24"
88,12,18,"2021-03-22 13:56:16"
7,14,15,"2021-03-22 13:56:16"
17,10,10,"2021-03-22 13:56:14"
90,16,24,"2021-03-22 13:56:11"
6,4,16,"2021-03-22 13:55:58"
19,8,22,"2021-03-22 13:55:57"
32,12,18,"2021-03-22 13:55:54"
89,4,36,"2021-03-22 13:55:52"
77,9,20,"2021-03-22 13:55:44"
34,14,16,"2021-03-22 13:55:34"
108,12,28,"2021-03-22 13:55:30"
103,8,32,"2021-03-22 13:55:29"
71,4,35,"2021-03-22 13:55:25"
10,8,8,"2021-03-22 13:55:22"
91,7,23,"2021-03-22 13:55:14"
87,12,26,"2021-03-22 13:54:57"
13,11,19,"2021-03-22 13:54:53"
52,11,21,"2021-03-22 13:54:49"
56,9,31,"2021-03-22 13:54:48"
57,7,16,"2021-03-22 13:54:43"
79,12,15,"2021-03-22 13:54:39"
17,9,11,"2021-03-22 13:54:37"
76,11,27,"2021-03-22 13:54:35"
59,11,9,"2021-03-22 13:54:32"
10,7,9,"2021-03-22 13:54:31"
31,6,14,"2021-03-22 13:54:25"
33,8,15,"2021-03-22 13:54:24"
115,12,18,"2021-03-22 13:54:24"
73,14,16,"2021-03-22 13:54:22"
40,9,12,"2021-03-22 13:54:20"
113,14,26,"2021-03-22 13:54:12"
99,6,24,"2021-03-22 13:54:08"
12,5,15,"2021-03-22 13:54:07"
69,14,25,"2021-03-22 13:53:50"
102,6,34,"2021-03-22 13:53:49"
30,8,12,"2021-03-22 13:53:47"
43,7,23,"2021-03-22 13:53:44"
2,8,12,"2021-03-22 13:53:31"
62,3,37,"2021-03-22 13:53:27"
97,11,29,"2021-03-22 13:53:24"
63,13,22,"2021-03-22 13:53:23"
110,15,25,"2021-03-22 13:53:23"
51,10,30,"2021-03-22 13:53:22"
48,9,30,"2021-03-22 13:53:22"
19,7,23,"2021-03-22 13:53:22"
67,15,25,"2021-03-22 13:53:17"
114,9,31,"2021-03-22 13:53:11"
78,18,22,"2021-03-22 13:53:07"
96,5,25,"2021-03-22 13:53:03"
112,10,20,"2021-03-22 13:53:02"
5,12,28,"2021-03-22 13:52:58"
53,7,33,"2021-03-22 13:52:50"
64,7,33,"2021-03-22 13:52:44"
83,14,26,"2021-03-22 13:52:34"
61,15,10,"2021-03-22 13:52:31"
52,10,22,"2021-03-22 13:52:27"
44,16,14,"2021-03-22 13:52:16"
