description,temp,temp_min,temp_max,humidity,intervals,number,available_bikes,available_bikes_stands,Day,Bikes_available
scattered clouds,12,11,13,71,2021-03-19 15:15:00,61,7,18,Friday,7
scattered clouds,12,11,13,71,2021-03-19 15:15:00,55,8,28,Friday,8
scattered clouds,12,11,13,71,2021-03-19 15:15:00,91,19,11,Friday,19
scattered clouds,12,11,13,71,2021-03-19 15:15:00,113,9,31,Friday,9
scattered clouds,12,11,13,71,2021-03-19 15:15:00,51,6,34,Friday,6
scattered clouds,12,11,13,71,2021-03-19 15:15:00,87,14,24,Friday,14
scattered clouds,12,11,13,71,2021-03-19 15:15:00,19,14,16,Friday,14
scattered clouds,12,11,13,71,2021-03-19 15:15:00,26,13,7,Friday,13
scattered clouds,12,11,13,71,2021-03-19 15:15:00,5,12,28,Friday,12
scattered clouds,12,11,13,71,2021-03-19 15:15:00,109,4,25,Friday,4
scattered clouds,12,11,13,71,2021-03-19 15:15:00,2,9,11,Friday,9
scattered clouds,12,10,12,76,2021-03-19 15:30:00,56,16,24,Friday,16
scattered clouds,12,10,12,76,2021-03-19 15:30:00,26,13,7,Friday,13
scattered clouds,12,10,12,76,2021-03-19 15:30:00,2,9,11,Friday,9
scattered clouds,12,10,12,76,2021-03-19 15:30:00,51,6,34,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,90,14,26,Friday,14
scattered clouds,12,10,12,76,2021-03-19 15:30:00,47,7,33,Friday,7
scattered clouds,12,10,12,76,2021-03-19 15:30:00,84,18,12,Friday,18
scattered clouds,12,10,12,76,2021-03-19 15:30:00,113,9,31,Friday,9
scattered clouds,12,10,12,76,2021-03-19 15:30:00,55,8,28,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,30,8,12,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,5,12,28,Friday,12
scattered clouds,12,10,12,76,2021-03-19 15:30:00,12,0,20,Friday,0
scattered clouds,12,10,12,76,2021-03-19 15:30:00,101,8,22,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,64,10,30,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,3,4,16,Friday,4
scattered clouds,12,10,12,76,2021-03-19 15:30:00,44,16,14,Friday,16
scattered clouds,12,10,12,76,2021-03-19 15:30:00,22,6,14,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,67,3,37,Friday,3
scattered clouds,12,10,12,76,2021-03-19 15:30:00,31,17,3,Friday,17
scattered clouds,12,10,12,76,2021-03-19 15:30:00,48,8,32,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,80,14,26,Friday,14
scattered clouds,12,10,12,76,2021-03-19 15:30:00,28,17,13,Friday,17
scattered clouds,12,10,12,76,2021-03-19 15:30:00,116,12,18,Friday,12
scattered clouds,12,10,12,76,2021-03-19 15:30:00,107,9,31,Friday,9
scattered clouds,12,10,12,76,2021-03-19 15:30:00,111,6,34,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,45,5,25,Friday,5
scattered clouds,12,10,12,76,2021-03-19 15:30:00,99,8,22,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,108,11,29,Friday,11
scattered clouds,12,10,12,76,2021-03-19 15:30:00,32,14,16,Friday,14
scattered clouds,12,10,12,76,2021-03-19 15:30:00,29,15,14,Friday,15
scattered clouds,12,10,12,76,2021-03-19 15:30:00,63,13,22,Friday,13
scattered clouds,12,10,12,76,2021-03-19 15:30:00,82,4,18,Friday,4
scattered clouds,12,10,12,76,2021-03-19 15:30:00,21,5,25,Friday,5
scattered clouds,12,10,12,76,2021-03-19 15:30:00,106,20,20,Friday,20
scattered clouds,12,10,12,76,2021-03-19 15:30:00,8,1,29,Friday,1
scattered clouds,12,10,12,76,2021-03-19 15:30:00,16,7,13,Friday,7
scattered clouds,12,10,12,76,2021-03-19 15:30:00,23,11,19,Friday,11
scattered clouds,12,10,12,76,2021-03-19 15:30:00,40,6,15,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,77,14,15,Friday,14
scattered clouds,12,10,12,76,2021-03-19 15:30:00,61,7,18,Friday,7
scattered clouds,12,10,12,76,2021-03-19 15:30:00,87,13,25,Friday,13
scattered clouds,12,10,12,76,2021-03-19 15:30:00,109,4,25,Friday,4
scattered clouds,12,10,12,76,2021-03-19 15:30:00,37,10,20,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,74,6,24,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,96,8,22,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,114,2,38,Friday,2
scattered clouds,12,10,12,76,2021-03-19 15:30:00,11,9,21,Friday,9
scattered clouds,12,10,12,76,2021-03-19 15:30:00,85,10,25,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,72,20,11,Friday,20
