number,available_bikes,available_bikes_stands,last_update
42,16,14,1613837671000
30,2,18,1613837548000
54,2,31,1613837705000
108,14,26,1613837779000
56,3,37,1613837613000
6,1,19,1613837902000
18,18,12,1613837672000
32,14,16,1613837871000
52,17,15,1613837743000
48,13,27,1613837537000
13,6,24,1613837648000
43,12,18,1613837808000
31,11,9,1613837739000
98,4,36,1613837455000
23,9,21,1613837955000
106,13,27,1613837961000
112,5,25,1613837456000
68,4,36,1613837522000
74,17,13,1613837586000
87,9,29,1613837726000
84,5,24,1613837768000
90,11,29,1613837530000
11,8,22,1613837440000
17,3,17,1613837722000
45,0,30,1613837918000
114,1,39,1613837726000
72,17,14,1613837920000
63,10,25,1613837475000
113,4,36,1613837419000
91,16,14,1613837852000
99,2,28,1613837938000
9,17,7,1613837858000
67,17,23,1613837794000
116,7,23,1613837498000
55,7,29,1613837394000
62,1,39,1613837479000
5,27,13,1613837754000
97,5,35,1613837900000
61,18,7,1613837737000
77,11,18,1613837575000
73,12,18,1613837900000
4,7,13,1613837963000
49,22,18,1613837452000
19,17,13,1613837874000
7,17,7,1613837940000
102,15,25,1613837962000
38,29,11,1613837834000
53,10,30,1613837499000
58,26,14,1613837854000
66,3,37,1613837578000
104,2,38,1613837839000
101,12,18,1613837776000
115,11,19,1613837804000
47,7,33,1613837755000
117,5,35,1613837911000
8,4,26,1613837453000
27,15,5,1613837409000
16,3,17,1613837620000
96,7,23,1613837820000
82,13,9,1613837924000
76,13,25,1613837547000
71,14,26,1613837550000
79,6,21,1613837485000
69,7,33,1613837851000
25,12,18,1613837906000
51,0,40,1613837844000
37,1,29,1613837516000
59,6,14,1613837617000
95,21,19,1613837654000
94,5,35,1613837792000
105,2,34,1613837527000
36,7,33,1613837376000
93,17,23,1613837792000
22,12,8,1613837390000
50,17,23,1613837858000
110,8,32,1613837692000
12,0,20,1613837780000
34,24,6,1613837702000
78,14,25,1613837552000
2,10,10,1613837390000
75,0,40,1613837662000
111,28,12,1613837607000
26,12,8,1613837537000
65,17,23,1613837446000
15,12,4,1613837830000
86,7,31,1613837844000
10,12,4,1613837578000
100,21,4,1613837817000
24,18,2,1613837463000
64,9,31,1613837541000
109,25,4,1613837455000
85,19,16,1613837730000
107,6,34,1613837654000
33,10,13,1613837930000
44,24,6,1613837492000
89,4,36,1613837916000
57,0,23,1613837467000
80,21,19,1613837396000
41,12,8,1613837774000
3,2,18,1613837422000
40,10,11,1613837896000
29,15,14,1613837869000
103,15,25,1613837428000
28,9,21,1613837512000
39,15,5,1613837655000
83,13,27,1613837409000
92,38,2,1613837385000
21,3,27,1613837421000
88,15,15,1613837693000
42,16,14,1613838279000
30,2,18,1613838154000
54,3,30,1613838454000
108,14,26,1613838388000
56,3,37,1613838223000
6,1,19,1613838508000
18,17,13,1613838698000
32,14,16,1613838480000
52,16,16,1613838295000
48,14,26,1613838374000
13,6,24,1613838257000
43,13,17,1613838518000
31,11,9,1613838345000
98,4,36,1613838667000
23,9,21,1613838562000
106,12,28,1613838635000
112,5,25,1613838667000
68,3,37,1613838555000
74,16,14,1613838414000
87,8,30,1613838618000
84,5,24,1613838375000
90,11,29,1613838749000
11,8,22,1613838658000
17,3,17,1613838328000
45,0,30,1613838525000
114,1,39,1613838335000
72,17,14,1613838528000
63,10,25,1613838693000
113,4,36,1613838637000
91,16,14,1613838458000
99,1,29,1613838628000
9,17,7,1613838177000
67,17,23,1613838400000
116,6,24,1613838711000
55,8,28,1613838423000
62,2,38,1613838508000
5,27,13,1613838360000
97,5,35,1613838506000
61,18,7,1613838346000
77,11,18,1613838183000
73,13,17,1613838260000
4,6,14,1613838256000
49,21,19,1613838709000
19,18,12,1613838280000
7,17,7,1613838545000
102,15,25,1613838571000
38,27,13,1613838415000
53,10,30,1613838711000
58,25,15,1613838371000
66,3,37,1613838184000
104,2,38,1613838448000
101,12,18,1613838384000
115,11,19,1613838410000
47,7,33,1613838361000
117,5,35,1613838519000
8,4,26,1613838671000
27,16,4,1613838495000
16,3,17,1613838228000
96,7,23,1613838426000
82,13,9,1613838531000
76,13,25,1613838156000
71,13,27,1613838707000
79,6,21,1613838703000
69,7,33,1613838457000
25,12,18,1613838626000
51,0,40,1613838452000
37,1,29,1613838728000
59,5,15,1613838685000
95,21,19,1613838260000
94,5,35,1613838398000
105,2,34,1613838744000
36,7,33,1613838593000
93,17,23,1613838398000
22,11,9,1613838467000
50,19,21,1613838307000
110,9,31,1613838700000
12,0,20,1613838386000
34,24,6,1613838355000
78,14,25,1613838158000
2,10,10,1613838608000
75,18,22,1613838282000
111,29,11,1613838274000
26,12,8,1613838749000
65,17,23,1613838658000
15,12,4,1613838439000
86,8,30,1613838363000
10,12,4,1613838184000
100,20,5,1613838646000
24,15,5,1613838674000
64,9,31,1613838150000
109,25,4,1613838687000
85,19,16,1613838336000
107,7,33,1613838238000
33,11,12,1613838162000
44,25,5,1613838384000
89,4,36,1613838526000
57,2,21,1613838604000
80,20,20,1613838534000
41,12,8,1613838381000
3,2,18,1613838635000
40,12,9,1613838365000
29,15,14,1613838592000
103,15,25,1613838645000
28,9,21,1613838730000
39,14,6,1613838463000
83,13,27,1613838622000
92,20,20,1613838677000
21,3,27,1613838633000
88,14,16,1613838619000
42,19,11,1613839905000
30,2,18,1613839366000
54,3,30,1613839671000
108,13,27,1613839888000
56,2,38,1613839573000
6,1,19,1613839436000
18,16,14,1613839941000
32,15,15,1613839877000
52,15,17,1613839400000
48,13,27,1613839435000
13,6,24,1613839474000
43,14,16,1613839854000
